word,frequency
heeft,0.00363
tegen,0.00129
maken,0.00126
onder,0.0012
staat,0.000955
zoals,0.000933
omdat,0.000891
komen,0.000891
leven,0.000891
waren,0.000832
laten,0.000759
alles,0.000724
grote,0.000708
terug,0.000708
eigen,0.000646
nooit,0.000589
geven,0.000562
samen,0.000562
samen,0.000562
nodig,0.000537
vanaf,0.000537
weten,0.000537
vrouw,0.000537
staan,0.000513
beter,0.000513
zeker,0.00049
goede,0.000468
graag,0.000457
niets,0.000447
beste,0.000447
eerst,0.000437
vraag,0.000437
zelfs,0.000437
dagen,0.000437
nemen,0.000398
groot,0.000389
sinds,0.000389
bijna,0.00038
welke,0.000339
water,0.000331
klaar,0.000324
nieuw,0.000324
enige,0.000316
later,0.000309
maart,0.000309
groep,0.000309
thuis,0.000302
video,0.000275
april,0.000275
vader,0.000269
soort,0.000269
zodat,0.000263
begin,0.000263
moest,0.000263
leren,0.000257
regio,0.000257
boven,0.000251
meest,0.000245
horen,0.00024
ander,0.000234
kreeg,0.000234
naast,0.000234
hoofd,0.000229
zowel,0.000229
vroeg,0.000224
lopen,0.000219
mogen,0.000219
geval,0.000214
weken,0.000209
halen,0.000209
lange,0.000209
lezen,0.000209
zaken,0.000209
langs,0.000204
bezig,0.000204
klein,0.0002
krijg,0.0002
nadat,0.0002
maand,0.000195
noord,0.000195
delen,0.000195
recht,0.000195
wilde,0.000195
einde,0.000191
prijs,0.000191
stond,0.000191
begon,0.000191
kamer,0.000191
kamer,0.000191
juist,0.000182
reden,0.000182
media,0.000178
jonge,0.000178
dacht,0.000174
beide,0.000174
leden,0.00017
ervan,0.000166
woord,0.000166
kopen,0.000162
buurt,0.000162
ieder,0.000158
avond,0.000158
actie,0.000155
alsof,0.000148
basis,0.000148
enkel,0.000148
derde,0.000148
extra,0.000145
grond,0.000145
meter,0.000141
links,0.000141
doden,0.000141
kleur,0.000138
wonen,0.000138
beeld,0.000135
leger,0.000135
lijst,0.000135
blijf,0.000132
sterk,0.000132
licht,0.000129
prima,0.000126
vrije,0.000123
nacht,0.000123
trots,0.000123
broer,0.00012
titel,0.00012
namen,0.00012
serie,0.000115
start,0.000115
mocht,0.000115
dicht,0.000112
tekst,0.000112
witte,0.000112
sorry,0.00011
helft,0.00011
zeven,0.00011
kaart,0.000107
radio,0.000105
gezet,0.000105
keuze,0.000102
hotel,0.0001
zwart,0.0001
markt,0.0001
zomer,0.0001
lucht,9.77e-05
moord,9.55e-05
brand,9.55e-05
stelt,9.55e-05
eraan,9.55e-05
sport,9.55e-05
kunst,9.55e-05
super,9.33e-05
dames,9.33e-05
geluk,9.33e-05
waard,9.33e-05
macht,9.33e-05
feest,9.12e-05
aarde,9.12e-05
wacht,9.12e-05
stand,8.91e-05
vorig,8.91e-05
erbij,8.91e-05
peter,8.71e-05
ronde,8.71e-05
stuur,8.51e-05
kwijt,8.51e-05
hoger,8.51e-05
gezin,8.51e-05
jeugd,8.32e-05
bleef,8.32e-05
schip,8.32e-05
enorm,8.13e-05
zwaar,8.13e-05
praat,8.13e-05
zware,8.13e-05
frans,7.94e-05
brief,7.94e-05
hield,7.94e-05
hopen,7.94e-05
steun,7.76e-05
eruit,7.59e-05
slaan,7.41e-05
lieve,7.41e-05
zover,7.41e-05
trein,7.24e-05
allen,7.24e-05
frank,7.24e-05
bleek,7.08e-05
islam,6.92e-05
